trial,model,task,latency,temperature,id,result,quality,accuracy,variance,consensus,effectiveness,elapsed,strategy,created
Trial_519 1,llama3.3:latest,classify a short statement into a category of fakeness,151.0,0.6,Item_2,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'mostly-true'.,3.4764147488,0.0,0.1042201407414278,0.9417074769072308,0.2354268692268077,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,gpt-4o,classify a short statement into a category of fakeness,3.0,0.6,Item_6,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'half-true'.,8.1214928046,1.0,0.0087231788963247,0.983135463279626,0.9957838658199065,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,gpt-4o,classify a short statement into a category of fakeness,3.0,0.6,Item_6,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'half-true'.,8.1214928046,1.0,0.1401570288351302,0.9324003469504252,0.9831000867376063,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 2,gemini-2.0-flash,classify a short statement into a category of fakeness,4.0,0.6,Item_2,"' Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" ' is labeled as 'half-true'.",0.9609070091,0.0,0.2300157411297415,0.8829665697986047,0.22074164244965117,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,firefunction-v2,classify a short statement into a category of fakeness,329.0,0.6,Item_3,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" is labeled as mostly-true.",7.7746348199,1.0,0.1955561360183684,0.8920887113124838,0.973022177828121,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,claude-3-7-sonnet-20250219,classify a short statement into a category of fakeness,7.0,0.7,Item_7,"'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'half-true'.",3.015215871,0.0,1.8563569123088908,0.6675227796780995,0.16688069491952487,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,o1-mini,classify a short statement into a category of fakeness,20.0,1.0,Item_6,"'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'true'.",4.0690630808,0.0,0.6826812095675369,0.7983769733365795,0.19959424333414488,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,mixtral:8x22b,classify a short statement into a category of fakeness,481.0,0.6,Item_9," 'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'false'.",1.82862774,0.0,0.1258570891892704,0.9134294858533926,0.22835737146334814,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,o4-mini,classify a short statement into a category of fakeness,34.0,1.0,Item_4,"' Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" ' is labeled as ' true '.",3.9032387309,0.0,0.4345041310692574,0.8391473907458848,0.2097868476864712,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,qwen2.5:32b,classify a short statement into a category of fakeness,69.0,0.45,Item_5,"'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'half-true'.",3.1555794818,0.0,0.2521195497764763,0.8774722618156306,0.21936806545390766,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,firefunction-v2,classify a short statement into a category of fakeness,160.0,0.6,Item_3,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" is labeled as mostly-true.",7.7746348199,1.0,0.0306381540568648,0.9572867661904364,0.9893216915476091,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,claude-3-5-sonnet-latest,classify a short statement into a category of fakeness,11.0,0.7,Item_1,"'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'false'.",0.8792087708,0.0,0.1059617889536043,0.92056611639794,0.230141529099485,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 2,llama3.3:latest,classify a short statement into a category of fakeness,311.0,0.6,Item_8,"'Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""' is labeled as 'false'.",0.1699031476,0.0,0.0467395106345814,0.9472438328342168,0.2368109582085542,8m 59s,RANDOM,2025-07-11 09:59:08
Trial_519 3,o3-mini,classify a short statement into a category of fakeness,30.0,1.0,Item_5,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.0077959503,0.0,1.0207197608193681e-16,0.9999999870565413,0.2499999967641353,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,llama3.1:70b,classify a short statement into a category of fakeness,169.0,0.6,Item_8,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.8615207294,0.0,0.0450736576773154,0.7280065245027953,0.18200163112569884,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,o3-mini,classify a short statement into a category of fakeness,33.0,1.0,Item_5,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.0077959503,0.0,0.0230167293626661,0.8056346292835275,0.20140865732088187,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,gemini-2.0-flash,classify a short statement into a category of fakeness,2.0,0.6,Item_2,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.8615207276,0.0,7.220696584363858e-16,0.9999999655739944,0.2499999913934986,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,gpt-4o,classify a short statement into a category of fakeness,4.0,0.6,Item_7,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,1.9985e-06,0.0,6.129165244342374e-05,0.9899700734990152,0.2474925183747538,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,claude-3-5-sonnet-latest,classify a short statement into a category of fakeness,13.0,0.7,Item_0,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.8615207345,0.0,0.0613528411137355,0.6826675938171725,0.17066689845429311,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,gemini-2.0-flash,classify a short statement into a category of fakeness,2.0,0.6,Item_2,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.8615207276,0.0,1.3973611646142508e-17,0.9999999952109274,0.24999999880273185,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,qwen2.5:32b,classify a short statement into a category of fakeness,71.0,0.45,Item_9,'Health care reform legislation is likely to mandate free sex change surgeries.' is labeled as 'false'.,0.8615207303,0.0,5.094415143508101e-16,0.9999999710835982,0.24999999277089954,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 3,o4-mini,classify a short statement into a category of fakeness,32.0,1.0,Item_4,' Health care reform legislation is likely to mandate free sex change surgeries. ' is labeled as ' false '.,0.222952282,0.0,2.379677765861088e-16,0.9999999802368502,0.24999999505921255,3m 55s,RANDOM,2025-07-11 10:08:10
Trial_519 4,gemini-2.0-flash,classify a short statement into a category of fakeness,3.0,0.6,Item_8,'The economic turnaround started at the end of my term.' is labeled as 'half-true'.,9.5768573306,1.0,2.925767687876409,0.6787162663608826,0.9196790665902206,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,llama3.1:70b,classify a short statement into a category of fakeness,142.0,0.6,Item_5,'The economic turnaround started at the end of my term.' is labeled as 'false'.,1.1430485039,0.0,0.9511164051960144,0.816816794350488,0.204204198587622,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,o4-mini,classify a short statement into a category of fakeness,20.0,1.0,Item_4,'The economic turnaround started at the end of my term.' is labeled as 'half-true'.,9.4644454914,1.0,0.0369066520132222,0.9639154624848524,0.9909788656212131,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,llama3.3:latest,classify a short statement into a category of fakeness,292.0,0.6,Item_0,'The economic turnaround started at the end of my term.' is labeled as 'false'.,0.7391627741,0.0,0.7986285913631906,0.8321423087155067,0.20803557717887666,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,claude-3-5-sonnet-latest,classify a short statement into a category of fakeness,7.0,0.7,Item_3,'The economic turnaround started at the end of my term.' is labeled as 'half-true'.,9.5670915668,1.0,0.3482690341487118,0.8891524115570985,0.9722881028892746,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,gpt-4o,classify a short statement into a category of fakeness,2.0,0.6,Item_9,'The economic turnaround started at the end of my term.' is labeled as 'false'.,0.2455630285,0.0,0.2236815203222585,0.911165048124011,0.22779126203100275,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,qwen2.5:32b,classify a short statement into a category of fakeness,47.0,0.45,Item_2,'The economic turnaround started at the end of my term.' is labeled as 'mostly-true'.,2.102503819,0.0,0.1546110908408322,0.9261434289699032,0.2315358572424758,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,gemini-2.0-flash,classify a short statement into a category of fakeness,2.0,0.6,Item_8,'The economic turnaround started at the end of my term.' is labeled as 'half-true'.,9.5768573306,1.0,0.2133524769636922,0.9132403756199774,0.9783100939049943,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,llama3.3:latest,classify a short statement into a category of fakeness,289.0,0.6,Item_0,'The economic turnaround started at the end of my term.' is labeled as 'false'.,0.7391627741,0.0,1.1735890411988584e-06,0.999796517604746,0.2499491294011865,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 4,gemini-2.0-flash,classify a short statement into a category of fakeness,3.0,0.6,Item_8,'The economic turnaround started at the end of my term.' is labeled as 'half-true'.,9.5768573306,1.0,0.0187420276278803,0.97428555795794,0.993571389489485,4m 49s,RANDOM,2025-07-11 10:12:08
Trial_519 5,gpt-4o,classify a short statement into a category of fakeness,2.0,0.6,Item_0,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,1e-10,0.0,2.7805473593309086e-20,0.9999999998482016,0.2499999999620504,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,o3-mini,classify a short statement into a category of fakeness,23.0,1.0,Item_7,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,0.0,0.0,1.780200813042172e-20,0.999999999878539,0.24999999996963476,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,gpt-4o,classify a short statement into a category of fakeness,3.0,0.6,Item_0,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,1e-10,0.0,1.1846617870244306e-21,0.9999999999686672,0.2499999999921668,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,o3-mini,classify a short statement into a category of fakeness,34.0,1.0,Item_7,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,0.0,0.0,7.904639396474352e-09,0.9999190637419922,0.24997976593549806,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,gpt-4o,classify a short statement into a category of fakeness,3.0,0.6,Item_0,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,1e-10,0.0,2.379678187640327e-20,0.9999999998595696,0.2499999999648924,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,o1-mini,classify a short statement into a category of fakeness,28.0,1.0,Item_8,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'false'.,1e-10,0.0,2.976612089320689e-08,0.9998429408615488,0.2499607352153872,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,llama3.1:70b,classify a short statement into a category of fakeness,297.0,0.6,Item_9,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'true'.,1e-10,0.0,2.976612089320689e-08,0.9998429408615488,0.2499607352153872,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 5,mixtral:8x22b,classify a short statement into a category of fakeness,135.0,0.6,Item_2,'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.' is labeled as 'false'.,1e-10,0.0,0.0040652544486843,0.941957520451186,0.2354893801127965,4m 54s,RANDOM,2025-07-11 10:17:00
Trial_519 6,firefunction-v2,classify a short statement into a category of fakeness,165.0,0.6,Item_7,Jim Dunnam has not lived in the district he represents for years now is labeled as mostly-true.,2.7458487115,0.0,0.0306228544477994,0.9407131252793484,0.2351782813198371,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,gemini-2.0-flash,classify a short statement into a category of fakeness,3.0,0.6,Item_0,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'false'.,0.65481707,0.0,0.1575077946007936,0.8655419688769611,0.21638549221924028,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,firefunction-v2,classify a short statement into a category of fakeness,388.0,0.6,Item_7,Jim Dunnam has not lived in the district he represents for years now is labeled as mostly-true.,2.7458487115,0.0,0.0088765536892715,0.9680803651616996,0.2420200912904249,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,llama3.1:70b,classify a short statement into a category of fakeness,198.0,0.6,Item_5,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'true'.,3.082353765,0.0,0.047955438802384,0.9258084137030228,0.2314521034257557,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,o4-mini,classify a short statement into a category of fakeness,37.0,1.0,Item_9,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'false'.,0.6746094782,0.0,0.0110399931774526,0.9644024486839342,0.24110061217098355,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,mixtral:8x22b,classify a short statement into a category of fakeness,346.0,0.6,Item_6,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'false'.,2.8695974518,0.0,0.048795344350115,0.9251615273026076,0.2312903818256519,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,firefunction-v2,classify a short statement into a category of fakeness,384.0,0.6,Item_7,Jim Dunnam has not lived in the district he represents for years now is labeled as mostly-true.,2.7458487115,0.0,0.0407817221941408,0.9315822948331396,0.2328955737082849,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,o4-mini,classify a short statement into a category of fakeness,36.0,1.0,Item_9,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'false'.,0.6746094782,0.0,0.0149078492600281,0.9586340294304307,0.2396585073576077,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,llama3.1:70b,classify a short statement into a category of fakeness,206.0,0.6,Item_5,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'true'.,3.082353765,0.0,0.76105551405477,0.7044412026621039,0.17611030066552597,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 6,claude-3-5-sonnet-latest,classify a short statement into a category of fakeness,4.0,0.7,Item_1,'Jim Dunnam has not lived in the district he represents for years now.' is labeled as 'false'.,0.4739879043,0.0,0.0790509641909442,0.9047446651646432,0.2261861662911608,9m 20s,RANDOM,2025-07-11 10:21:56
Trial_519 7,firefunction-v2,classify a short statement into a category of fakeness,115.0,0.6,Item_2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate. is labeled as mostly-true.",0.0003982112,0.0,0.0001346189107489,0.9976207803733652,0.2494051950933413,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,gemini-2.0-flash,classify a short statement into a category of fakeness,4.0,0.6,Item_4,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'half-true'.",8.12578,1.0,0.2687273747745637,0.8936989749470048,0.9734247437367511,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,gemini-2.0-flash,classify a short statement into a category of fakeness,3.0,0.6,Item_4,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'half-true'.",8.12578,1.0,1.2973509584524874,0.7664336703218695,0.9416084175804673,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,o1-mini,classify a short statement into a category of fakeness,23.0,1.0,Item_3,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'true'.",0.0003186825,0.0,0.7037111858378842,0.8279800865280037,0.20699502163200093,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,llama3.1:70b,classify a short statement into a category of fakeness,112.0,0.6,Item_7,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'false'.",3.9278581346,0.0,2.114088679828745,0.7018443126043994,0.17546107815109985,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,gemini-2.0-flash,classify a short statement into a category of fakeness,4.0,0.6,Item_4,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'half-true'.",8.12578,1.0,0.4708895590775955,0.859284794846506,0.9648211987116265,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,o3-mini,classify a short statement into a category of fakeness,31.0,1.0,Item_5,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'half-true'.",7.1397913333,1.0,0.252736734100374,0.8969102035156231,0.9742275508789058,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,firefunction-v2,classify a short statement into a category of fakeness,166.0,0.6,Item_2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate. is labeled as mostly-true.",0.0003982112,0.0,0.0007913024280409,0.9942316348171883,0.2485579087042971,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,firefunction-v2,classify a short statement into a category of fakeness,64.0,0.6,Item_2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate. is labeled as mostly-true.",0.0003982112,0.0,0.4036036670694685,0.8697256096609638,0.21743140241524095,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 7,o4-mini,classify a short statement into a category of fakeness,36.0,1.0,Item_6,"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.' is labeled as 'false'.",3.9278581346,0.0,0.887203181729875,0.80685074249665,0.2017126856241625,4m 10s,RANDOM,2025-07-11 10:31:19
Trial_519 8,gpt-4o,classify a short statement into a category of fakeness,5.0,0.6,Item_5,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.6331686326,0.0,0.5157746520408063,0.18247819068385,0.0456195476709625,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,llama3.1:70b,classify a short statement into a category of fakeness,82.0,0.6,Item_3,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.9353739253,0.0,0.4638154474129307,0.224749679737892,0.056187419934473,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,gpt-4o,classify a short statement into a category of fakeness,4.0,0.6,Item_5,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.6331686326,0.0,0.2592877050097399,0.4203573786595844,0.1050893446648961,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,gemini-2.0-flash,classify a short statement into a category of fakeness,2.0,0.6,Item_4,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.8047810022,0.0,0.0088258725525077,0.8930580310340253,0.22326450775850631,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,gemini-2.0-flash,classify a short statement into a category of fakeness,2.0,0.6,Item_4,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.8047810022,0.0,0.016049833689897,0.8557869313162454,0.21394673282906135,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,qwen2.5:32b,classify a short statement into a category of fakeness,89.0,0.45,Item_9,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'mostly-true'.",4.1234413976,0.0,0.0863154135484336,0.6655636093300447,0.16639090233251116,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,o4-mini,classify a short statement into a category of fakeness,30.0,1.0,Item_8,"' However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific. ' is labeled as ' true '.",0.1951772547,0.0,0.0154791511215107,0.8583740226024168,0.2145935056506042,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,qwen2.5:32b,classify a short statement into a category of fakeness,89.0,0.45,Item_9,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'mostly-true'.",4.1234413976,0.0,0.0122750505435618,0.8738808617979489,0.21847021544948722,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,o4-mini,classify a short statement into a category of fakeness,34.0,1.0,Item_8,"' However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific. ' is labeled as ' true '.",0.1951772547,0.0,5.619595962563411,0.0,0.0,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 8,o1-mini,classify a short statement into a category of fakeness,26.0,1.0,Item_6,"'However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.' is labeled as 'true'.",1.586363603,0.0,0.5081705731597221,0.1885269401508338,0.04713173503770845,1m 26s,RANDOM,2025-07-11 10:35:31
Trial_519 9,gpt-4o,classify a short statement into a category of fakeness,4.0,0.6,Item_0,'Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.' is labeled as 'half-true'.,2.0223672045,0.0,0.0023183794484519,0.9895828947331806,0.24739572368329515,5m 14s,RANDOM,2025-07-11 10:37:00
Trial_519 9,o4-mini,classify a short statement into a category of fakeness,35.0,1.0,Item_1,'Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.' is labeled as 'half-true'.,1.9260738337,0.0,0.2391004315481368,0.8942099131553507,0.22355247828883767,5m 14s,RANDOM,2025-07-11 10:37:00
